,club,comments_x,comments_y,comments_x,comments_y,comments_x,comments_y,comments_x,comments_y,comments_x,comments_y,comments_x,comments_y,comments_x,comments_y,comments_x,comments_y,comments_x,comments_y,comments_x,comments_y,comments_x,comments_y,comments_x,comments_y,comments_x,comments_y,comments
0,Manchester United,44057.0,45309.0,40976.0,50248.0,47725.0,57667.0,46388.0,67967.0,78812.0,45172.0,33341.0,29154.0,1981.0,,525.0,1270.0,2012.0,1061.0,1236.0,1392.0,1640.0,2082.0,1149.0,899.0,999.0,1038.0,974.0
1,Liverpool,32231.0,32073.0,28856.0,50939.0,50539.0,71296.0,67169.0,74647.0,81554.0,56029.0,52163.0,40234.0,2857.0,,,664.0,1157.0,1316.0,2178.0,1460.0,1180.0,1141.0,1279.0,1237.0,2116.0,1734.0,1645.0
2,Real Madrid,25150.0,24327.0,23122.0,17101.0,20995.0,33087.0,32682.0,43600.0,43027.0,24906.0,19365.0,14351.0,1430.0,,,,773.0,,,841.0,,727.0,,,,,
3,Chelsea,25110.0,26373.0,21113.0,27192.0,22212.0,23078.0,25513.0,33127.0,47884.0,31637.0,22740.0,21964.0,1448.0,,,651.0,857.0,731.0,1301.0,1076.0,1066.0,760.0,,,1277.0,1228.0,1116.0
4,Arsenal,24291.0,27157.0,25717.0,37166.0,31906.0,38471.0,37632.0,49469.0,55887.0,29916.0,23754.0,25503.0,2353.0,,,619.0,1205.0,983.0,1294.0,980.0,1632.0,1707.0,885.0,932.0,1028.0,769.0,1073.0
5,Barcelona,19585.0,13874.0,12621.0,32766.0,31338.0,28639.0,24913.0,33722.0,42494.0,24464.0,20434.0,19816.0,1710.0,,,,919.0,984.0,837.0,,1089.0,,,,,,
6,Tottenham Hotspur,19444.0,15850.0,11240.0,25381.0,20239.0,20185.0,18113.0,25477.0,28876.0,16175.0,14287.0,9741.0,1082.0,,,,,,,,858.0,819.0,,,,,
7,Bayern München,14536.0,9381.0,9926.0,10800.0,12102.0,16945.0,12219.0,16271.0,17217.0,8172.0,7284.0,6699.0,3157.0,3557.0,3241.0,4193.0,5028.0,3351.0,3502.0,3261.0,2584.0,3300.0,2031.0,2007.0,2248.0,1869.0,1467.0
8,Juventus,11129.0,12498.0,9046.0,6837.0,9152.0,10991.0,12047.0,12001.0,18025.0,11025.0,9638.0,9191.0,488.0,,,,,,,,,,,,,,
9,Manchester City,10504.0,11979.0,10283.0,22276.0,15105.0,16757.0,14320.0,16256.0,16727.0,13949.0,10689.0,9998.0,472.0,,,,,,,,,,,,,,
10,Borussia Dortmund,7396.0,6101.0,6408.0,7381.0,7044.0,7415.0,7099.0,10311.0,10657.0,5191.0,5628.0,6705.0,691.0,,,,,,,,,,,,,,
11,Everton,5255.0,3900.0,5695.0,3748.0,3135.0,4037.0,4281.0,5714.0,7798.0,6877.0,3786.0,2762.0,,,,,,,,,,,,,,,
12,Sunderland,5214.0,3862.0,2943.0,3340.0,2659.0,2863.0,2258.0,2121.0,3060.0,2628.0,1893.0,1408.0,,,,,,,,,,,,,,,
13,Ajax,5150.0,8001.0,5235.0,4385.0,5036.0,5611.0,5227.0,8070.0,8668.0,6735.0,8248.0,6508.0,,,,,,,,,,,,,,,
14,Leicester City,4898.0,3391.0,1806.0,4219.0,2629.0,2572.0,3033.0,4235.0,5310.0,3827.0,2951.0,2114.0,,,,,,,,,,,,,,,
15,Newcastle United,4554.0,4518.0,2948.0,4658.0,3836.0,5925.0,4988.0,6814.0,9907.0,5019.0,3737.0,2656.0,,,,,,,,,,,,,,,
16,AC Milan,4066.0,4552.0,9153.0,5581.0,7405.0,6772.0,6369.0,7731.0,10734.0,7939.0,4640.0,4566.0,,,,,,,,,,,,,,,
17,Benfica,3922.0,4398.0,5879.0,3478.0,3700.0,4937.0,5197.0,7037.0,5765.0,4879.0,4549.0,3666.0,,,,,,,,,,,,,,,
18,Crystal Palace,3761.0,3314.0,1808.0,1937.0,2037.0,3298.0,3139.0,2565.0,3066.0,3357.0,2127.0,1648.0,,,,,,,,,,,,,,,
19,England,3750.0,4042.0,4401.0,7713.0,5886.0,7497.0,13441.0,49953.0,40893.0,9242.0,8387.0,6501.0,,,,,,,,,,,,,,,
20,Celtic,3733.0,3176.0,3003.0,3041.0,2924.0,3582.0,4761.0,5036.0,5722.0,4785.0,4304.0,2958.0,,,,,,,,,,,,,,,
21,United States,3567.0,2440.0,6149.0,2656.0,3561.0,4156.0,3973.0,22222.0,23817.0,3450.0,3596.0,2332.0,1421.0,1327.0,1148.0,1248.0,1602.0,1206.0,1457.0,2831.0,7318.0,1377.0,908.0,801.0,1069.0,831.0,705.0
22,Republic of Ireland,3014.0,2979.0,2241.0,3155.0,2946.0,3414.0,3143.0,7418.0,6869.0,2829.0,2550.0,1874.0,,,,,,,,,,,,,,,
23,Valencia,2553.0,1472.0,669.0,795.0,1143.0,1125.0,1175.0,1777.0,2555.0,1447.0,,,,,,,,,,,,,,,,,
24,West Ham United,2545.0,2828.0,2137.0,3282.0,3363.0,3547.0,4484.0,4743.0,5920.0,3005.0,2742.0,2834.0,,,,,,,,,,,,,,,
25,Napoli,2482.0,1863.0,2060.0,2535.0,1936.0,2258.0,3298.0,2882.0,2986.0,2253.0,2080.0,1839.0,,,,,,,,,,,,,,,
26,Southampton,2453.0,2891.0,3433.0,2282.0,2618.0,3006.0,3306.0,3249.0,4214.0,1928.0,1583.0,1472.0,,,,,,,,,,,,,,,
27,Internazionale,2375.0,3120.0,3179.0,2498.0,2535.0,3739.0,4551.0,6359.0,6491.0,5862.0,3781.0,3549.0,,,,,,,,,,,,,,,
28,Sporting Clube de Portugal,2345.0,2486.0,4333.0,3736.0,3394.0,3829.0,3645.0,5559.0,4748.0,4043.0,3363.0,2079.0,,,,,,,,,,,,,,,
29,Germany,2237.0,1758.0,3444.0,1366.0,2021.0,2545.0,3447.0,19700.0,17092.0,2329.0,2281.0,2784.0,,,,,,,,,,,,,,,
30,Paris Saint-Germain,2192.0,1916.0,2515.0,5856.0,5132.0,4483.0,3656.0,3460.0,9270.0,3953.0,4341.0,3670.0,,,,,,,,,,,,,,,
31,Stoke City,2178.0,2419.0,2188.0,1972.0,1389.0,1955.0,2519.0,1677.0,2407.0,1639.0,1178.0,958.0,,,,,,,,,,,,,,,
32,Feyenoord,2098.0,2413.0,2036.0,1465.0,1105.0,1420.0,1227.0,1797.0,1877.0,1663.0,1426.0,903.0,472.0,,,,,,,,,,,,,,
33,Werder Bremen,2049.0,1809.0,1501.0,1502.0,1261.0,1997.0,2026.0,3953.0,3454.0,2068.0,1573.0,1282.0,,,,,,,,,,,,,,,
34,Atlético Madrid,1998.0,2006.0,1871.0,2239.0,2554.0,2610.0,3609.0,5128.0,6583.0,3751.0,2759.0,2587.0,1266.0,1085.0,620.0,896.0,1140.0,634.0,,,,764.0,,,,,
35,AS Roma,1934.0,2298.0,2530.0,1807.0,2982.0,5573.0,4768.0,4268.0,5159.0,3404.0,2741.0,2293.0,,,,,,,,,,,,,,,
36,Watford,1722.0,2525.0,1401.0,3332.0,2662.0,2735.0,2729.0,2584.0,2898.0,2475.0,2450.0,1796.0,,,,,,,,,,,,,,,
37,Leeds United,1690.0,1945.0,1222.0,1581.0,1685.0,1650.0,1936.0,2888.0,3752.0,2553.0,1826.0,1500.0,,,,,,,,,,,,,,,
